,country,Year,gdp_usd
0,Africa Eastern and Southern,2024,1242693542929.85
1,Africa Eastern and Southern,2023,1179359054880.45
2,Africa Eastern and Southern,2022,1228967879390.01
3,Africa Eastern and Southern,2021,1114144799994.21
4,Africa Eastern and Southern,2020,938607563405.087
5,Africa Eastern and Southern,2019,1018714795912.35
6,Africa Eastern and Southern,2018,1020955778298.17
7,Africa Eastern and Southern,2017,978076465866.452
8,Africa Eastern and Southern,2016,831868076442.431
9,Africa Eastern and Southern,2015,910002035578.038
65,Africa Western and Central,2024,736384961061.523
66,Africa Western and Central,2023,938238370514.198
67,Africa Western and Central,2022,1063649130876.99
68,Africa Western and Central,2021,1026651004045.79
69,Africa Western and Central,2020,963784699293.976
70,Africa Western and Central,2019,1026996211935.8
71,Africa Western and Central,2018,777840323023.311
72,Africa Western and Central,2017,694051345937.233
73,Africa Western and Central,2016,700028168335.244
74,Africa Western and Central,2015,778022057597.448
130,Arab World,2024,3735881442514.35
131,Arab World,2023,3622495663981.78
132,Arab World,2022,3747416641077.46
133,Arab World,2021,3085141461685.6
134,Arab World,2020,2604104981819.8
135,Arab World,2019,2965285548936.01
136,Arab World,2018,2920829737234.67
137,Arab World,2017,2611323720520.0
138,Arab World,2016,2536564595458.87
139,Arab World,2015,2580328583417.41
195,Caribbean small states,2024,90344593407.0487
196,Caribbean small states,2023,79534673452.944
197,Caribbean small states,2022,78506430710.7309
198,Caribbean small states,2021,62687149265.4471
199,Caribbean small states,2020,53320869430.7059
200,Caribbean small states,2019,62185458482.7062
201,Caribbean small states,2018,61252081219.8672
202,Caribbean small states,2017,59690101434.3488
203,Caribbean small states,2016,58073168349.5106
204,Caribbean small states,2015,62545153672.0285
260,Central Europe and the Baltics,2024,2462005273603.48
261,Central Europe and the Baltics,2023,2273205742208.3
262,Central Europe and the Baltics,2022,1954419184114.96
263,Central Europe and the Baltics,2021,1926347717339.0
264,Central Europe and the Baltics,2020,1678294256145.3
265,Central Europe and the Baltics,2019,1684318282245.77
266,Central Europe and the Baltics,2018,1656383422202.66
267,Central Europe and the Baltics,2017,1467501784248.85
268,Central Europe and the Baltics,2016,1321561415743.83
269,Central Europe and the Baltics,2015,1297141271990.05
325,Early-demographic dividend,2024,15808304487948.1
326,Early-demographic dividend,2023,14933453330998.3
327,Early-demographic dividend,2022,14034689936337.3
328,Early-demographic dividend,2021,12695008338487.8
329,Early-demographic dividend,2020,10823343545638.3
330,Early-demographic dividend,2019,11686574879191.1
331,Early-demographic dividend,2018,11478917653356.5
332,Early-demographic dividend,2017,11320553240043.8
333,Early-demographic dividend,2016,10423237803666.1
334,Early-demographic dividend,2015,10127250782286.2
390,East Asia & Pacific,2024,32017179839273.0
391,East Asia & Pacific,2023,31417826880875.0
392,East Asia & Pacific,2022,31266291368260.6
393,East Asia & Pacific,2021,31675719814404.9
394,East Asia & Pacific,2020,27578839610232.4
395,East Asia & Pacific,2019,27427259967363.2
396,East Asia & Pacific,2018,26853593303707.3
397,East Asia & Pacific,2017,24656162308335.2
398,East Asia & Pacific,2016,23089672188769.4
399,East Asia & Pacific,2015,22299105656919.6
455,East Asia & Pacific (excluding high income),2024,22260810771875.1
456,East Asia & Pacific (excluding high income),2023,21644412635340.6
457,East Asia & Pacific (excluding high income),2022,21563881384135.8
458,East Asia & Pacific (excluding high income),2021,21231425978691.4
459,East Asia & Pacific (excluding high income),2020,17805166443182.2
460,East Asia & Pacific (excluding high income),2019,17503274977303.3
461,East Asia & Pacific (excluding high income),2018,16902110052652.3
462,East Asia & Pacific (excluding high income),2017,15115625540264.8
463,East Asia & Pacific (excluding high income),2016,13844122751569.4
464,East Asia & Pacific (excluding high income),2015,13548904084321.4
520,East Asia & Pacific (IDA & IBRD countries),2024,22233362919728.4
521,East Asia & Pacific (IDA & IBRD countries),2023,21617676926854.5
522,East Asia & Pacific (IDA & IBRD countries),2022,21537214774462.6
523,East Asia & Pacific (IDA & IBRD countries),2021,21205187136185.7
524,East Asia & Pacific (IDA & IBRD countries),2020,17783207218899.1
525,East Asia & Pacific (IDA & IBRD countries),2019,17481715455963.4
526,East Asia & Pacific (IDA & IBRD countries),2018,16881316789674.4
527,East Asia & Pacific (IDA & IBRD countries),2017,15097056837158.2
528,East Asia & Pacific (IDA & IBRD countries),2016,13827151057380.2
529,East Asia & Pacific (IDA & IBRD countries),2015,13532272043462.5
585,Euro area,2024,16485444160371.0
586,Euro area,2023,15854782417877.0
587,Euro area,2022,14488160081806.7
588,Euro area,2021,14924551716260.4
589,Euro area,2020,13267554461613.6
590,Euro area,2019,13589774677631.3
591,Euro area,2018,13871778197583.7
592,Euro area,2017,12841960349280.8
593,Euro area,2016,12123283574466.5
594,Euro area,2015,11829834353286.1
650,Europe & Central Asia,2024,29291828957768.8
651,Europe & Central Asia,2023,27732942821913.5
652,Europe & Central Asia,2022,25798700454390.6
653,Europe & Central Asia,2021,25572901699926.6
654,Europe & Central Asia,2020,22322527185686.7
655,Europe & Central Asia,2019,23067540030248.6
656,Europe & Central Asia,2018,23342642668393.3
657,Europe & Central Asia,2017,21791487069281.7
658,Europe & Central Asia,2016,20528432079127.4
659,Europe & Central Asia,2015,20603435735279.5
715,Europe & Central Asia (excluding high income),2024,2451180144505.47
716,Europe & Central Asia (excluding high income),2023,2143244215113.25
717,Europe & Central Asia (excluding high income),2022,1820242864725.1
718,Europe & Central Asia (excluding high income),2021,1680958734568.53
719,Europe & Central Asia (excluding high income),2020,1446077189727.52
720,Europe & Central Asia (excluding high income),2019,1508679974755.36
721,Europe & Central Asia (excluding high income),2018,1477488205993.51
722,Europe & Central Asia (excluding high income),2017,1499595960769.3
723,Europe & Central Asia (excluding high income),2016,1450171284448.8
724,Europe & Central Asia (excluding high income),2015,1510474002479.16
780,Europe & Central Asia (IDA & IBRD countries),2024,6131674441421.64
781,Europe & Central Asia (IDA & IBRD countries),2023,5562782514647.52
782,Europe & Central Asia (IDA & IBRD countries),2022,5264484546456.79
783,Europe & Central Asia (IDA & IBRD countries),2021,4637763943320.14
784,Europe & Central Asia (IDA & IBRD countries),2020,3924139091384.84
785,Europe & Central Asia (IDA & IBRD countries),2019,4184533628660.37
786,Europe & Central Asia (IDA & IBRD countries),2018,4098990245510.03
787,Europe & Central Asia (IDA & IBRD countries),2017,3927649813354.44
788,Europe & Central Asia (IDA & IBRD countries),2016,3492088089759.5
789,Europe & Central Asia (IDA & IBRD countries),2015,3633660246044.52
845,European Union,2024,19497115588443.6
846,European Union,2023,18659133072074.8
847,European Union,2022,17023612496380.4
848,European Union,2021,17495226733585.2
849,European Union,2020,15504055464107.4
850,European Union,2019,15809073096211.4
851,European Union,2018,16092403309151.5
852,European Union,2017,14871313684625.8
853,European Union,2016,13988147697216.6
854,European Union,2015,13656252620703.3
910,Fragile and conflict affected situations,2024,1652895518697.74
911,Fragile and conflict affected situations,2023,1778723185468.2
912,Fragile and conflict affected situations,2022,1918272363969.18
913,Fragile and conflict affected situations,2021,1740335947472.93
914,Fragile and conflict affected situations,2020,1610227321244.27
915,Fragile and conflict affected situations,2019,1811454247630.6
916,Fragile and conflict affected situations,2018,1556210403398.5
917,Fragile and conflict affected situations,2017,1443031828638.41
918,Fragile and conflict affected situations,2016,1358130757341.27
919,Fragile and conflict affected situations,2015,1481660318787.67
975,Heavily indebted poor countries (HIPC),2024,1145111349262.57
976,Heavily indebted poor countries (HIPC),2023,1060316071770.29
977,Heavily indebted poor countries (HIPC),2022,1002501492801.3
978,Heavily indebted poor countries (HIPC),2021,924417463438.7
979,Heavily indebted poor countries (HIPC),2020,816029422839.446
980,Heavily indebted poor countries (HIPC),2019,811372254522.343
981,Heavily indebted poor countries (HIPC),2018,790373898773.381
982,Heavily indebted poor countries (HIPC),2017,735068264238.844
983,Heavily indebted poor countries (HIPC),2016,677200621773.188
984,Heavily indebted poor countries (HIPC),2015,674606540074.897
1040,High income,2024,71321142708251.1
1041,High income,2023,68449582732271.4
1042,High income,2022,65081334214971.5
1043,High income,2021,62745314846357.3
1044,High income,2020,55889737341875.4
1045,High income,2019,57456170925405.3
1046,High income,2018,56920619917132.1
1047,High income,2017,53524059312874.9
1048,High income,2016,50927970256186.1
1049,High income,2015,49977567874625.5
1105,IBRD only,2024,40930410371533.4
1106,IBRD only,2023,39248258733753.5
1107,IBRD only,2022,37943329554311.5
1108,IBRD only,2021,35879316080995.1
1109,IBRD only,2020,30204027280204.5
1110,IBRD only,2019,31377057597389.8
1111,IBRD only,2018,30736778363828.6
1112,IBRD only,2017,28848700119389.0
1113,IBRD only,2016,26133021093477.3
1114,IBRD only,2015,25937609442668.8
1170,IDA & IBRD total,2024,43823204664493.9
1171,IDA & IBRD total,2023,42176516066439.1
1172,IDA & IBRD total,2022,41018485584725.7
1173,IDA & IBRD total,2021,38741335342414.8
1174,IDA & IBRD total,2020,32822847991827.3
1175,IDA & IBRD total,2019,34078219798939.1
1176,IDA & IBRD total,2018,33147599934551.5
1177,IDA & IBRD total,2017,31117686702333.8
1178,IDA & IBRD total,2016,28286257999424.7
1179,IDA & IBRD total,2015,28103757036548.0
1235,IDA blend,2024,1117411942661.72
1236,IDA blend,2023,1272526278004.68
1237,IDA blend,2022,1456880573683.68
1238,IDA blend,2021,1369357769886.58
1239,IDA blend,2020,1258453633593.25
1240,IDA blend,2019,1354444605559.25
1241,IDA blend,2018,1125278097800.27
1242,IDA blend,2017,1064701742324.65
1243,IDA blend,2016,1035761112332.6
1244,IDA blend,2015,1104888256132.44
1300,IDA only,2024,1775382350298.79
1301,IDA only,2023,1655731054680.85
1302,IDA only,2022,1618275456730.5
1303,IDA only,2021,1492661491533.09
1304,IDA only,2020,1360367078029.56
1305,IDA only,2019,1346717595990.02
1306,IDA only,2018,1285543472922.62
1307,IDA only,2017,1204284840620.16
1308,IDA only,2016,1117475793614.79
1309,IDA only,2015,1061259337746.72
1365,IDA total,2024,2892794292960.5
1366,IDA total,2023,2928257332685.53
1367,IDA total,2022,3075156030414.18
1368,IDA total,2021,2862019261419.67
1369,IDA total,2020,2618820711622.81
1370,IDA total,2019,2701162201549.27
1371,IDA total,2018,2410821570722.89
1372,IDA total,2017,2268986582944.81
1373,IDA total,2016,2153236905947.39
1374,IDA total,2015,2166147593879.17
1430,Late-demographic dividend,2024,29979152245112.6
1431,Late-demographic dividend,2023,28934446547714.4
1432,Late-demographic dividend,2022,28550398557203.3
1433,Late-demographic dividend,2021,27284231194748.9
1434,Late-demographic dividend,2020,22869539211355.0
1435,Late-demographic dividend,2019,23366567397285.6
1436,Late-demographic dividend,2018,22907660419321.1
1437,Late-demographic dividend,2017,20889290142886.5
1438,Late-demographic dividend,2016,18841937712407.0
1439,Late-demographic dividend,2015,18797219107172.1
1495,Latin America & Caribbean,2024,7110323254687.35
1496,Latin America & Caribbean,2023,6910660006084.82
1497,Latin America & Caribbean,2022,6144995160894.64
1498,Latin America & Caribbean,2021,5382862734265.64
1499,Latin America & Caribbean,2020,4627348896643.87
1500,Latin America & Caribbean,2019,5473432644126.84
1501,Latin America & Caribbean,2018,5581100995040.84
1502,Latin America & Caribbean,2017,5715057427671.23
1503,Latin America & Caribbean,2016,5148746106826.83
1504,Latin America & Caribbean,2015,5289615626446.62
1560,Latin America & Caribbean (excluding high income),2024,6168787362595.33
1561,Latin America & Caribbean (excluding high income),2023,6014673692976.05
1562,Latin America & Caribbean (excluding high income),2022,5336050967302.51
1563,Latin America & Caribbean (excluding high income),2021,4637976019252.06
1564,Latin America & Caribbean (excluding high income),2020,3991303751042.44
1565,Latin America & Caribbean (excluding high income),2019,4748616176252.64
1566,Latin America & Caribbean (excluding high income),2018,4816735877469.79
1567,Latin America & Caribbean (excluding high income),2017,4960873741744.95
1568,Latin America & Caribbean (excluding high income),2016,4438833899168.87
1569,Latin America & Caribbean (excluding high income),2015,4578739613722.79
1625,Latin America & the Caribbean (IDA & IBRD countries),2024,6776899040059.78
1626,Latin America & the Caribbean (IDA & IBRD countries),2023,6591336702938.76
1627,Latin America & the Caribbean (IDA & IBRD countries),2022,5851879329574.93
1628,Latin America & the Caribbean (IDA & IBRD countries),2021,5118940165028.38
1629,Latin America & the Caribbean (IDA & IBRD countries),2020,4387909128654.57
1630,Latin America & the Caribbean (IDA & IBRD countries),2019,5230554354083.41
1631,Latin America & the Caribbean (IDA & IBRD countries),2018,5347056434773.57
1632,Latin America & the Caribbean (IDA & IBRD countries),2017,5482764267203.12
1633,Latin America & the Caribbean (IDA & IBRD countries),2016,4922090097003.8
1634,Latin America & the Caribbean (IDA & IBRD countries),2015,5068610305411.75
1690,Least developed countries: UN classification,2024,1536272727812.71
1691,Least developed countries: UN classification,2023,1459966948607.94
1692,Least developed countries: UN classification,2022,1474237106700.91
1693,Least developed countries: UN classification,2021,1303898952961.36
1694,Least developed countries: UN classification,2020,1179778077659.19
1695,Least developed countries: UN classification,2019,1169366192253.69
1696,Least developed countries: UN classification,2018,1116339519831.8
1697,Least developed countries: UN classification,2017,1044504274790.04
1698,Least developed countries: UN classification,2016,952622086763.392
1699,Least developed countries: UN classification,2015,946044369982.556
1755,Low & middle income,2024,39397098753614.4
1756,Low & middle income,2023,38059330027172.9
1757,Low & middle income,2022,36965295357847.5
1758,Low & middle income,2021,35235417682028.0
1759,Low & middle income,2020,29882663470187.9
1760,Low & middle income,2019,30863484502772.9
1761,Low & middle income,2018,29945950603040.9
1762,Low & middle income,2017,28123682410171.2
1763,Low & middle income,2016,25722739836843.3
1764,Low & middle income,2015,25457289049147.5
1820,Low income,2024,469282282632.522
1821,Low income,2023,434043376409.571
1822,Low income,2022,434268149844.662
1823,Low income,2021,375494019860.55
1824,Low income,2020,339434568554.002
1825,Low income,2019,352056761148.886
1826,Low income,2018,341989728902.808
1827,Low income,2017,326806567421.383
1828,Low income,2016,317624904429.654
1829,Low income,2015,361782469708.524
1885,Lower middle income,2024,7941312381464.47
1886,Lower middle income,2023,7684634708973.7
1887,Lower middle income,2022,7588963714927.97
1888,Lower middle income,2021,7124669005626.3
1889,Lower middle income,2020,6297797215276.78
1890,Lower middle income,2019,6527442965633.65
1891,Lower middle income,2018,6022782110520.98
1892,Lower middle income,2017,5770458203695.0
1893,Lower middle income,2016,5319173245722.59
1894,Lower middle income,2015,5110516313268.72
1950,"Middle East, North Africa, Afghanistan & Pakistan",2024,5094721946852.29
1951,"Middle East, North Africa, Afghanistan & Pakistan",2023,4905729965245.33
1952,"Middle East, North Africa, Afghanistan & Pakistan",2022,5030925398736.26
1953,"Middle East, North Africa, Afghanistan & Pakistan",2021,4310652927209.13
1954,"Middle East, North Africa, Afghanistan & Pakistan",2020,3587451756047.23
1955,"Middle East, North Africa, Afghanistan & Pakistan",2019,4019889117584.4
1956,"Middle East, North Africa, Afghanistan & Pakistan",2018,4050508431278.92
1957,"Middle East, North Africa, Afghanistan & Pakistan",2017,3795353115732.68
1958,"Middle East, North Africa, Afghanistan & Pakistan",2016,3624240285092.23
1959,"Middle East, North Africa, Afghanistan & Pakistan",2015,3558416509933.66
2015,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2024,2203604227426.38
2016,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2023,2094668147144.99
2017,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2022,2160815136190.98
2018,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2021,1939712222007.44
2019,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2020,1667961526440.19
2020,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2019,1834354275856.43
2021,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2018,1877875348076.98
2022,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2017,1878260539942.56
2023,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2016,1849124741125.58
2024,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2015,1780659355969.3
2080,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2024,2189893127426.38
2081,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2023,2076820247144.99
